EXCHANGE%3DNASDAQ
MARKET_OPEN_MINUTE=570
MARKET_CLOSE_MINUTE=960
INTERVAL=86400
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=-240
35,20.22,20.35,19.77,20.27,605432,1
36,19.15,20,18.88,20,454228,1
37,18.8,19.34,18.1,19.32,599972,1
38,19.18,19.38,18.7,18.85,559699,1
39,17.26,19.31,17.01,19.2,1048421,1
42,16.6,17.3,16.2,17.02,757849,1
43,15.91,16.94,15.56,16.35,747486,1
44,15.58,16.32,15.03,15.97,736059,1
45,15.46,15.8,14.94,15.13,491449,1
46,15.97,16.01,15.37,15.62,527821,1
50,17.56,17.63,16.15,16.16,1074821,1
51,18.04,18.8499,17.56,17.6,932918,1
52,18.01,18.36,17.81,18.14,399258,1
53,18.28,18.61,17.69,17.93,317030,1
56,18.84,19.11,18.15,18.35,489075,1
57,18.22,19.1,17.94,18.83,504771,1
58,18.53,18.68,17.72,17.97,309769,1
59,18.9,19.05,18.41,18.64,504513,1
60,21.83,22.54,20.11,20.55,1773713,1
63,22.35,22.92,21.76,21.76,741167,1
64,23.05,23.19,22.02,22.38,783868,1
65,23.35,23.66,22.95,23.12,424973,1
66,24.48,25.15,23.51,23.75,775114,1
67,23.83,25.64,23.59,24.54,1237798,1
70,23.5,24.11,23.22,23.8,527294,1
71,22.55,23.64,22.43,23.35,428844,1
72,22.52,22.78,22.12,22.62,289608,1
73,23.11,23.24,22.425,22.66,400297,1
74,22.81,23.42,22.16,23.15,553215,1
TIMEZONE_OFFSET=-240
a1457985600,22.48,22.955,22.16,22.94,344342,1
1,22.44,22.49,21.6975,22.14,362974,1
2,22.44,22.69,21.91,22.15,403033,1
3,22.87,22.9,22.061,22.46,321135,1
4,22.46,23,22.31,22.99,718272,1
7,22.81,23.0999,22.33,22.49,293865,1
8,22.4,23,22.25,22.56,406175,1
9,21.25,22.475,21.23,22.21,359556,1
10,21.49,21.54,20.7,21.09,444283,1
14,21.43,21.77,21.2263,21.44,311388,1
15,22.97,23.02,21.01,21.44,513626,1
16,23.14,23.64,22.68,23.08,527940,1
17,22.6,23.81,22.49,23.07,527135,1
18,22.67,22.82,21.76,22.38,272406,1
21,22.74,23.34,22.57,22.74,294870,1
22,23.07,23.35,22.2,22.47,462175,1
23,23.12,23.23,22.38,23.07,240071,1
24,23.71,24.29,22.25,23.02,512406,1
25,23.76,24.1199,23.325,23.84,323429,1
28,23.51,23.83,23.39,23.79,242682,1
29,23.71,23.99,22.92,23.51,303509,1
30,25.11,25.45,23.8,23.84,413030,1
31,24.65,25.18,24.24,25,242264,1
32,25.02,25.23,24.38,24.63,310503,1
35,25.42,25.59,24.85,24.89,435661,1
36,26.36,26.47,25.32,25.51,428656,1
37,26.78,27.06,26,26.17,427655,1
38,27.28,27.55,26.79,26.91,416054,1
39,27.75,28.47,27.3,27.3,384711,1
42,27.11,28.3,26.81,27.62,496490,1
43,27.31,27.565,26.92,27.17,305118,1
44,27.32,27.52,26.8181,27.25,326180,1
45,27.82,28.38,27.12,27.25,471778,1
46,28.03,28.05,27.37,27.71,466642,1
49,28.4,29.1,27.9,28.04,682309,1
50,28.16,28.25,27.4,28.15,479894,1
51,26.97,28.14,26.5801,27.8,693147,1
52,26.88,27.39,26.32,26.89,460346,1
53,28.43,29.25,26.6,27.88,848289,1
56,28.32,28.91,28.14,28.29,306843,1
57,27.3,28.05,26.93,28.05,582330,1
58,27.5,27.515,26.57,26.99,515338,1
59,26.77,27.65,26.43,27.45,416555,1
60,26.91,27.58,26.46,26.58,270291,1
63,27.35,27.515,26.3,26.68,404632,1
64,26.47,27.56,26.47,27.38,319404,1
65,27.28,27.38,26.25,26.42,403378,1
66,26.93,27.32,26.58,27.14,399105,1
67,26.86,27.32,26.495,27.07,315748,1
70,27.57,27.6699,26.85,26.97,327466,1
71,27.85,28,27.41,27.63,336953,1
72,27.17,27.21,26.03,26.59,668365,1
